# id	left	top	right	bottom	texture_id
[SPRITES]
#####  BIG ###############
#IDLE
11121	1	181	32	210	1
11111	1	181	32	210	2

#WALKING RIGHT
11222	108	181	139	210	1
11223	141	181	172	210	1

#WALKING LEFT
11212	108	181	139	210	2
11213	141	181	172	210	2

#RUNNING RIGHT
11321	211	181	242	210	1
11322	244	181	275	210	1
11323	277	181	308	210	1

#RUNNING LEFT
11311	211	181	242	210	2
11312	244	181	275	210	2
11313	277	181	308	210	2

#JUMP WALK
11410	351	181	382	210	1
11411	351	181	382	210	2

#FALLING
11412	384	181	415	210	1
11413	384	181	415	210	2

#JUMP RUN RIGHT & LEFT
11420	421	181	452	210	1
11421	421	181	452	210	2

#SIT RIGHT & LEFT 
11521	38	189	69	210	1
11511	38	189	69	210	2

#BRACE RIGHT & LEFT 
11621	314	181	345	210	1
11611	314	181	345	210	2

#DIE
13001	875	24	906	39	1

############ CAT ################
#IDLE
13121	242	633	271	662	0
13111	174	633	203	662	0

#WALKING RIGHT
13222	271	633	297	662	0
13223	302	633	328	662	0

#WALKING LEFT
13212	148	633	174	662	0
13213	117	633	143	662	0

#RUNNING RIGHT
13321	330	633	361	662	0
13322	361	633	392	662	0
13323	392	633	416	662	0

#RUNNING LEFT
13311	84	633	115	662	0
13312	53	633	84	662	0
13313	29	633	53	662	0

#JUMP WALK RIGHT & LEFT
13417	390	753	419	782	0
13413	26	753	53	782	0

#JUMP RUN RIGHT & LEFT
13427	360	752	391	782	0
13423	54	195	85	222	0

#SIT RIGHT & LEFT 
13521	426	239	441	256	0
13511	5	239	20	256	0

#BRACE RIGHT & LEFT 
13621	424	633	441	662	0
13611	4	633	21	662	0

# FLYING RIGHT AND LEFT
13700	330	713	359	742	0
13701	360	713	389	742	0

13710	56	713	85	742	0
13711	86	713	115	742	0

#RUNNING RIGHT CAN FLY
13821	330	633	361	662	0
13822	361	633	392	662	0
13823	392	633	416	662	0

#RUNNING LEFT CAN FLY
13911	84	633	115	662	0
13912	53	633	84	662	0
13913	29	633	53	662	0

############ SMALL ################
#IDLE
12121	1	24	32	39	1
12111	1	24	32	39	2

#WALK RIGHT
12222	108	24	139	39	1
12223	141	24	172	39	1

#WALK LEFT
12212	108	24	139	39	2
12213	141	24	172	39	2

#RUN RIGHT
12321	178	24	209	39	1
12322	211	24	242	39	1

#RUN LEFT
12311	178	24	209	39	2
12312	211	24	242	39	2

#BRACE RIGHT & LEFT
12511	248	24	279	39	1
12521	248	24	279	39	2

#JUMP WALK RIGHT & LEFT 
12413	285	24	316	39	2
12417	285	24	316	39	1

#JUMP RUN RIGHT & LEFT 
12423	355	24	386	39	2
12427	355	24	386	39	1

#####################################
# ani_id	sprite1_id	time1	sprite2_id	time2	...
[ANIMATIONS]
400	11121	100
401	11111	100

#WALKING RIGHT & LEFT 
500	11121	100	11222	100	11223	100
501	11111	100	11212	100	11213	100

#RUNNING RIGHT & LEFT
600	11321	60	11322	60	11323	60
601	11311	60	11312	60	11313	60

#JUMP WALK
700	11410	100
701	11411	100

#FALLING
702	11412	100
703	11413	100

#JUMP RUN
800	11420	100
801	11421	100

#SIT RIGHT & LEFT 
900	11521	100
901	11511	100

#BRACE RIGHT & LEFT 
1000	11621	100
1001	11611	100

#DIE
999	13001	100

########### CAT #####################
1700	13121	100
1701	13111	100

#WALKING RIGHT & LEFT 
1800	13121	100	13222	100	13223	100
1801	13111	100	13212	100	13213	100

#RUNNING RIGHT & LEFT
1900	13321	60	13322	60	13323	60
1901	13311	60	13312	60	13313	60

#JUMP WALK
2000	13417	100
2001	13413	100

#JUMP RUN
2100	13427	100
2101	13423	100

#SIT RIGHT & LEFT 
2200	13521	100
2201	13511	100

#BRACE RIGHT & LEFT 
2300	13621	100
2301	13611	100

#FLYING RIGHT & LEFT
2400	13700	100	13701	100
2401	13710	100	13711	100

#RUNNING CAN FLY RIGHT & LEFT
2500	13821	50	13822	50	13823	50
2501	13911	50	13912	50	13913	50

#ACTTACK RIGHT & LEFT
2600	13311	100
2601	13321	100

################### SMALL #################
1100	12121	100
1102	12111	100

#WALK 
1200	12222	100	12223	100
1201	12212	100	12213	100

#RUN
1300	12321	60	12322	60
1301	12311	60	12312	60

#BRACE LEFT & RIGHT
1401	12511	100
1400	12521	100

#JUMP WALK
1500	12417	100
1501	12413	100

#JUMP RUN 
1601	12423	100
1600	12427	100
