# list of object assets to load in this scene
[ASSETS]
data\bottom_bar.txt
data\mario_map.txt

[MAP]
data\map_world01.txt

[INFOR]
#tile_size	filesave
16	data\save_map01.txt

[OBJECTS]

[PLAYER]
2	4

[GATE_CONNECTIONS]
# xCell yCell isBlocking isNode blockingLeft...
2	4	0	0
3	4	0	0
4	4	0	1	0	0	0	1
4	3	0	0
5	2	0	0
6	2	0	1
7	2	0	0
9	2	0	0
11	2	0	0
12	2	0	1
12	3	0	0
11	4	0	0
9	4	0	0

8	3	0	0
8	4	0	1
8	5	0	0
7	6	0	0
5	6	0	0
4	6	0	1
4	7	0	0
4	8	0	1
4	9	0	0
5	10	0	0
6	10	0	1
7	10	0	0
8	9	0	0
8	8	0	1
7	8	0	0

9	8	0	0
10	8	0	1
11	8	0	0

[GATES]
# xCell yCell completed sceneId
4	2	0	100
8	2	0	101
10	2	0	102
12	4	0	103
10	4	0	104
8	6	0	105
6	6	0	106
4	5	0	107
4	10	0	108
8	10	0	109
6	8	0	110
12	8	0	111

[UIS]
-10


